Unnamed: 0,Title,id,rating,genres,Release year
1445,Nacho Libre,9353,PG,Comedy;Family;Drama,2006
1446,Forever My Girl,417261,PG,Romance;Drama;Music,2018
1447,Fruitvale Station,157354,R,Drama,2013
1448,American Pie Presents: The Book of Love,26123,R,Comedy,2009
1450,The Ledge,924482,R,Thriller;Adventure,2022
1451,Straight Outta Compton,277216,R,Drama;Music;History,2015
1452,Happy Feet,9836,PG,Animation;Comedy;Family,2006
1453,Blacklight,823625,PG-13,Action;Thriller;Drama;Adventure,2022
1454,Event Horizon,8413,R,Horror;Science Fiction;Mystery,1997
1455,Event Horizon,8413,R,Horror;Science Fiction;Mystery,1997
1456,Freaky Friday,10330,PG,Comedy;Family;Fantasy,2003
1457,IO,433249,PG-13,Science Fiction,2019
1458,To Catch a Killer,605886,R,Thriller,2023
1459,Terminator Salvation,534,PG-13,Action;Science Fiction;Thriller,2009
1461,Sex and the City,4564,R,Comedy;Drama;Romance,2008
1462,Little Women,331482,PG,Drama;Romance,2019
1463,Anastasia,9444,G,Animation;Family;Fantasy;Adventure,1997
1464,Sherlock Holmes: A Game of Shadows,58574,PG-13,Adventure;Action;Crime;Mystery,2011
1465,What Men Want,487297,R,Comedy;Romance,2019
1466,Contact,686,PG,Drama;Science Fiction;Mystery,1997
1467,The Ring,565,PG-13,Horror;Mystery,2002
1468,Halloween Kills,610253,R,Horror;Thriller,2021
1469,Sniper: Ghost Shooter,407375,R,Action;Drama;War,2016
1470,Basic Instinct,402,R,Thriller;Mystery,1992
1472,I Am Mother,505948,PG-13,Science Fiction;Thriller,2019
1473,The Ice Road,646207,PG-13,Action;Thriller,2021
1474,Final Destination 3,9286,R,Horror;Mystery,2006
1475,12 Strong,429351,R,War;Drama;Action;History,2018
1476,Sin City: A Dame to Kill For,189,R,Crime;Action;Thriller,2014
1477,Lost in Translation,153,R,Drama;Romance,2003
1478,Final Destination 5,55779,R,Horror;Mystery,2011
1479,Lionheart,9399,R,Action,1990
1480,R.I.P.D.,49524,PG-13,Fantasy;Action;Comedy,2013
